section_id,titulo,competidor_model,metric,propio,competidor,delta_reportado,delta_calculado,delta_ok,impacto,propio_ratio_hp_calc
1,Brecha de Precio (TX) — Jim REMAX CLASICA 4X2 5MT CONFORT (2025) vs,Byd SHARK GL (2025),MSRP ($),445599.0,899980.0,-454381.0,-454381.0,True,Más competitivo,
1,Brecha de Precio (TX) — Jim REMAX CLASICA 4X2 5MT CONFORT (2025) vs,Byd SHARK GL (2025),Precio Transacción ($),445599.0,899980.0,-454381.0,-454381.0,True,Refuerza ventaja en precio real,
1,Brecha de Precio (TX) — Jim REMAX CLASICA 4X2 5MT CONFORT (2025) vs,Byd SHARK GL (2025),HP,208.0,,,,,Competidor con mejor,
1,Brecha de Precio (TX) — Jim REMAX CLASICA 4X2 5MT CONFORT (2025) vs,Byd SHARK GL (2025),MSRP/HP ($),2142.3,,,,,Competidor con mejor,2142.3
1,Brecha de Precio (TX) — Jim REMAX CLASICA 4X2 5MT CONFORT (2025) vs,Byd SHARK GL (2025),Transacción/HP ($),2142.3,,,,,Competidor con mejor,2142.3
2,Brecha de Precio (TX) — Jim REMAX CLASICA 4X2 5MT CONFORT (2025) vs,Byd SHARK GS (2025),MSRP ($),445599.0,969800.0,-524201.0,-524201.0,True,Más competitivo,
2,Brecha de Precio (TX) — Jim REMAX CLASICA 4X2 5MT CONFORT (2025) vs,Byd SHARK GS (2025),Precio Transacción ($),445599.0,969800.0,-524201.0,-524201.0,True,Refuerza ventaja en precio real,
2,Brecha de Precio (TX) — Jim REMAX CLASICA 4X2 5MT CONFORT (2025) vs,Byd SHARK GS (2025),HP,208.0,,,,,Competidor con mejor,
2,Brecha de Precio (TX) — Jim REMAX CLASICA 4X2 5MT CONFORT (2025) vs,Byd SHARK GS (2025),MSRP/HP ($),2142.3,,,,,Competidor con mejor,2142.3
2,Brecha de Precio (TX) — Jim REMAX CLASICA 4X2 5MT CONFORT (2025) vs,Byd SHARK GS (2025),Transacción/HP ($),2142.3,,,,,Competidor con mejor,2142.3
3,Brecha de Precio (TX) — Jim REMAX CLASICA 4X2 5MT CONFORT (2025) vs,Changan HUNTER PLUS 4X2 TM (2025),MSRP ($),445599.0,509900.0,-64301.0,-64301.0,True,Más competitivo,
3,Brecha de Precio (TX) — Jim REMAX CLASICA 4X2 5MT CONFORT (2025) vs,Changan HUNTER PLUS 4X2 TM (2025),Precio Transacción ($),445599.0,459900.0,-14301.0,-14301.0,True,Refuerza ventaja en precio real,
3,Brecha de Precio (TX) — Jim REMAX CLASICA 4X2 5MT CONFORT (2025) vs,Changan HUNTER PLUS 4X2 TM (2025),HP,208.0,214.0,-6.0,-6.0,True,Competidor con mejor,
3,Brecha de Precio (TX) — Jim REMAX CLASICA 4X2 5MT CONFORT (2025) vs,Changan HUNTER PLUS 4X2 TM (2025),MSRP/HP ($),2142.3,2382.71,-240.41,-240.40999999999985,True,Mejor valor por potencia,2142.3
3,Brecha de Precio (TX) — Jim REMAX CLASICA 4X2 5MT CONFORT (2025) vs,Changan HUNTER PLUS 4X2 TM (2025),Transacción/HP ($),2142.3,2149.07,-6.76,-6.769999999999982,True,Refuerza ventaja en precio real,2142.3
