Make,Model,Version_sales,match_make,match_model,match_version,match_ano,msrp,precio_transaccion,hp,equipment_score,units
FORD,RANGER,2.5 XL CREW CAB,FORD,RANGER,XL CREW CAB GASOLINA 2.5L MT 4X2 HIGH RI,2022.0,584000.0,584000.0,164.0,1.0,18.0
MINI,MINI,1.5 COOPER CLASSIC,MINI,MINI,3 DOOR COOPER CHILI,2021.0,522000.0,522000.0,136.0,2.0,4810.0
MINI,MINI,2.0 COOPER S CLASSIC,MINI,MINI,3 DOOR COOPER S CHILI,2021.0,584000.0,584000.0,192.0,1.0,2294.0
NISSAN,X-TRAIL,2.5 ADVANCE 2 ROW CVT,NISSAN,X-TRAIL,ADVANCE 2 ROW 22,2022.0,658900.0,635018.0,169.0,2.0,594.0
NISSAN,X-TRAIL,(O)2.5 ADVANCE 2 ROW CVT,NISSAN,X-TRAIL,ADVANCE 2 ROW 23,2023.0,689900.0,666900.0,181.0,4.0,1093.0
NISSAN,X-TRAIL,(O)2.5 ADVANCE 2 ROW CVT,NISSAN,X-TRAIL,ADVANCE 2 ROW 24,2024.0,691900.0,636900.0,181.0,4.0,1765.0
CHEVROLET,SUBURBAN,(O)5.3 LT C AUTO,CHEVROLET,SUBURBAN,LT C,2022.0,1696900.0,1696900.0,355.0,2.0,47.0
CHEVROLET,SUBURBAN,5.3 LT C AUTO,CHEVROLET,SUBURBAN,LT C,2023.0,1816600.0,1656600.0,355.0,2.0,32.0
CHEVROLET,SUBURBAN,5.3 LT C AUTO,CHEVROLET,SUBURBAN,LT C,2024.0,1882900.0,1752900.0,355.0,2.0,78.0
NISSAN,ALTIMA,(O)2.5 SENSE CVT,NISSAN,ALTIMA,SENSE 2.5L 22,2022.0,627900.0,602900.0,181.0,2.0,216.0
JEEP,WRANGLER,3.6 RUBICON AUTO 4WD,JEEP,WRANGLER,RUBICON ETORQUE MILD-HYBRID,2022.0,1126900.0,1126900.0,285.0,4.0,63.0
JEEP,WRANGLER,3.6 MHEV RUBICON AUTO 4WD,JEEP,WRANGLER,RUBICON ETORQUE MILD-HYBRID,2023.0,1204900.0,1204900.0,285.0,3.0,107.0
JEEP,WRANGLER,3.6 MHEV RUBICON AUTO 4WD,JEEP,WRANGLER,RUBICON V6 4X4,2024.0,1327900.0,1227900.0,285.0,3.0,216.0
HONDA,PILOT,3.5 TOURING AUTO,HONDA,PILOT,TOURING,2022.0,1029900.0,1029900.0,280.0,2.0,185.0
HONDA,PILOT,(O)3.5 TOURING AUTO,HONDA,PILOT,TOURING,2023.0,1159900.0,1159900.0,285.0,6.0,70.0
HONDA,PILOT,(O)3.5 TOURING AUTO,HONDA,PILOT,TOURING,2024.0,1165900.0,1165900.0,285.0,6.0,427.0
MINI,MINI,2.0 COOPER S CLASSIC DCT,MINI,MINI,3 DOOR COOPER S SALT AT,2021.0,578000.0,578000.0,192.0,2.0,619.0
MINI,MINI,2.0 JOHN COOPER WORKS ICONIC AUTO,MINI,MINI,3 DOOR COOPER S CHILI AT,2021.0,626000.0,626000.0,192.0,2.0,19336.0
FORD,RANGER,2.5 XLT CREW CAB,FORD,RANGER,XLT CREW CAB GASOLINA 2.5L MT 4X2 HIGH R,2022.0,634000.0,634000.0,164.0,1.0,1366.0
TOYOTA,HILUX,2.7 BASE DOBLE CABINA,TOYOTA,HILUX,D-CAB SR,2022.0,511500.0,511500.0,166.0,2.0,275.0
TOYOTA,HILUX,(O)2.7 SR DOBLE CABINA,TOYOTA,HILUX,D-CAB SR,2023.0,557000.0,557000.0,166.0,2.0,1889.0
TOYOTA,HILUX,(O)2.7 BASE DOBLE CABINA,TOYOTA,HILUX,D-CAB SR,2024.0,584200.0,584200.0,166.0,2.0,4937.0
NISSAN,KICKS,(O)1.2 HEV ADVANCE E-POWER,NISSAN,KICKS,ADVANCE CVT,2025.0,550900.0,550900.0,142.0,2.0,690.0
VOLVO,XC60,(O)2.0 T8 PHEV ULTIMATE DARK RCHG AUTO A,VOLVO,XC60,RECHARGE ULTIMATE DARK T8 E AWD,2024.0,1499900.0,1499900.0,462.0,3.0,172.0
SUZUKI,JIMNY,(O)1.5 GLX AUTO 4WD,SUZUKI,JIMNY,GLX AT,2023.0,459990.0,459990.0,102.0,3.0,82.0
SUZUKI,JIMNY,(O)1.5 GLX AUTO 4WD VERDE OBSESION,SUZUKI,JIMNY,GLX AT BITONO,2023.0,464990.0,464990.0,102.0,3.0,3338.0
SUZUKI,JIMNY,1.5 GLX 4WD VERDE OBSESION,SUZUKI,JIMNY,GLX MT BITONO,2023.0,444990.0,444990.0,102.0,3.0,1950.0
RAM,700,(O)1.3 SLT CREW CAB,RAM,700,SLT CREW CAB,2022.0,279900.0,279900.0,98.0,0.0,877.0
RAM,700,(O)1.3 BIGHORN CREW CAB,RAM,700,BIGHORN CREW CAB,2022.0,296900.0,296900.0,98.0,2.0,457.0
