make,model,version,ano,msrp,precio_transaccion,bono_mxn
FERRARI,F12,6.3 V12 BERLINETTA DCT F1,2013,5649480.0,429000.0,5220480.0
FERRARI,FF,6.3 V12 DCT 4WD,2014,5554763.0,435000.0,5119763.0
FERRARI,F12,6.3 V12 BERLINETTA DCT F1,2014,5478146.0,429000.0,5049146.0
BENTLEY,MULSANNE,6.8 TA,2013,5214904.0,396000.0,4818904.0
BENTLEY,MULSANNE,6.8 TA,2012,4834050.0,388900.0,4445150.0
FERRARI,458,458 SPIDER,2013,4674977.0,355000.0,4319977.0
FERRARI,458,458 SPIDER,2014,4533197.0,355000.0,4178197.0
PORSCHE,911,GT2 RS,2011,4041181.0,320000.0,3721181.0
FERRARI,F458,4.5L ITALIA DCT,2014,4022415.0,315000.0,3707415.0
BENTLEY,CONTINENTAL GT,CONTINENTAL GT SPEED,2010,3693138.0,273600.0,3419538.0
BENTLEY,CONTINENTAL GTC,CONTINENTAL GTC,2013,3700475.0,281000.0,3419475.0
FERRARI,CALIFORNIA,4.3L F1 TM,2014,3574203.0,279900.0,3294303.0
BENTLEY,CONTINENTAL FLYING SPUR,CONTINENTAL FLYING SPUR SPEED,2011,3437529.0,272200.0,3165329.0
BENTLEY,CONTINENTAL FLYING SPUR,CONTINENTAL FLYING SPUR SPEED,2012,3436912.0,276500.0,3160412.0
FERRARI,456M,GTA,1999,3450949.0,298049.31,3152899.69
BENTLEY,CONTINENTAL GT,CONTINENTAL GT,2013,3371251.0,256000.0,3115251.0
PORSCHE,911,GT2,2010,3340832.0,247500.0,3093332.0
BENTLEY,CONTINENTAL GTC,CONTINENTAL GTC V8,2013,3331744.0,253000.0,3078744.0
LAND ROVER,RANGE ROVER,5.0 AUTOBIOGRAPHY,2016,3269898.0,205900.0,3063998.0
BENTLEY,CONTINENTAL GT,CONTINENTAL GT,2010,3263891.0,241800.0,3022091.0
FERRARI,456M,GT,1999,3286182.0,283820.0,3002362.0
PORSCHE,PANAMERA,TURBO S EXECUTIVE PDK,2014,3238363.0,253600.0,2984763.0
BENTLEY,FLYING SPUR,FLYING SPUR,2013,3213224.0,244000.0,2969224.0
MERCEDES-BENZ,SLS AMG,6.3 SLS AMG,2011,3220316.0,255000.0,2965316.0
BENTLEY,CONTINENTAL FLYING SPUR,CONTINENTAL FLYING SPUR,2010,3174803.0,235200.0,2939603.0
FERRARI,550 MARANELLO,-,1999,3207460.0,277021.59,2930438.41
JAGUAR,F-TYPE,5.0 V8 R AT,2017,3083548.0,165900.0,2917648.0
LAND ROVER,RANGE ROVER SPORT,5.0 SUPERCHARGED AUTOBIOGRAPHY,2017,3064962.0,164900.0,2900062.0
BENTLEY,CONTINENTAL GT,CONTINENTAL GT,2012,3117459.0,250800.0,2866659.0
JAGUAR,F-TYPE,5.0 V8 R COUP AT,2017,2972028.0,159900.0,2812128.0
BENTLEY,CONTINENTAL GT,CONTINENTAL GT V8,2013,3042027.0,231000.0,2811027.0
LAND ROVER,RANGE ROVER SPORT,5.0 SUPERCHARGED SVR,2016,2999921.0,188900.0,2811021.0
BENTLEY,CONTINENTAL FLYING SPUR,CONTINENTAL FLYING SPUR,2011,3028360.0,239800.0,2788560.0
BENTLEY,CONTINENTAL FLYING SPUR,CONTINENTAL FLYING SPUR,2012,3031692.0,243900.0,2787792.0
PORSCHE,911,TURBO S CABRIOLET PDK,2014,2961263.0,231900.0,2729363.0
PORSCHE,PANAMERA,TURBO S 4.8 PDK,2013,2949845.0,224000.0,2725845.0
PORSCHE,911,TURBO S CABRIOLET PDK,2013,2910996.0,221050.0,2689946.0
LAND ROVER,RANGE ROVER,5.0 VOGUE SE,2016,2856992.0,179900.0,2677092.0
PORSCHE,911,TURBO S COUPE PDK,2014,2897415.0,226900.0,2670515.0
LAND ROVER,RANGE ROVER,5.0 AUTOBIOGRAPHY S/C LWB,2014,2820798.0,220900.0,2599898.0
PORSCHE,911,TURBO S COUPE PDK,2011,2803569.0,222000.0,2581569.0
LAND ROVER,RANGE ROVER,5.0 AUTOBIOGRAPHY,2015,2725822.0,189900.0,2535922.0
PORSCHE,911,TURBO S COUPE PDK,2013,2726631.0,207050.0,2519581.0
JAGUAR,XK,5.0L XKR-S CONVERTIBLE TA,2014,2718641.0,212900.0,2505741.0
PORSCHE,911,TURBO S CABRIOLET PDK,2012,2719697.0,218800.0,2500897.0
PORSCHE,911,TURBO CABRIOLET PDK,2010,2688863.0,199200.0,2489663.0
PORSCHE,PANAMERA,TURBO S 4.8 PDK,2012,2704781.0,217600.0,2487181.0
JAGUAR,F-TYPE,5.0 V8 R AT,2016,2602896.0,163900.0,2438996.0
PORSCHE,911,TURBO CABRIOLET MT,2010,2628121.0,194700.0,2433421.0
LAND ROVER,RANGE ROVER,5.0 AUTOBIOGRAPHY,2013,2632473.0,199900.0,2432573.0
PORSCHE,PANAMERA,4S 4.8L PDK,2014,2604992.0,204000.0,2400992.0
JAGUAR,XK,5.0L XKR-S COUPE,2014,2603715.0,203900.0,2399815.0
JAGUAR,F-TYPE,5.0 V8 R COUP AT,2016,2523491.0,158900.0,2364591.0
PORSCHE,911,TURBO CABRIOLET PDK,2013,2555435.0,194050.0,2361385.0
LAND ROVER,RANGE ROVER,5.0 AUTOBIOGRAPHY,2014,2552637.0,199900.0,2352737.0
PORSCHE,911,TURBO S COUPE PDK,2012,2546919.0,204900.0,2342019.0
AUDI,R8,5.2 FSI QUATTRO R TRONIC SPYDER,2011,2538367.0,201000.0,2337367.0
PORSCHE,911,TURBO CABRIOLET MT,2011,2513109.0,199000.0,2314109.0
MASERATI,GRANTURISMO,4.7 V8 MC STRADALE,2013,2500784.0,189900.0,2310884.0
PORSCHE,911,TURBO PDK,2010,2491788.0,184600.0,2307188.0
PORSCHE,911,TURBO CABRIOLET MT,2013,2496174.0,189550.0,2306624.0
LAND ROVER,RANGE ROVER SPORT,5.0 SUPERCHARGED AUTOBIOGRAPHY,2016,2459967.0,154900.0,2305067.0
PORSCHE,PANAMERA,TURBO 4.8L PDK,2010,2483689.0,184000.0,2299689.0
PORSCHE,911,TURBO CABRIOLET PDK,2014,2481127.0,194300.0,2286827.0
MASERATI,GRANTURISMO,4.7 V8 MC,2014,2464527.0,193000.0,2271527.0
PORSCHE,911,TURBO MT 6 VEL.,2010,2429696.0,180000.0,2249696.0
MASERATI,GRANTURISMO,4.7 V8 MC STRADALE,2014,2424941.0,189900.0,2235041.0
PORSCHE,911,TURBO PDK,2014,2417280.0,189300.0,2227980.0
