file,non_null_fields,keys
data/oem_specs/vw/Rescue_SheetVolswagen__Virtus_2022_5d_EN.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/vw/Rescue_SheetVolswagen__Virtus_2022_5d_ES.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/vw/Rescue_SheetVolswagen__Virtus_2022_5d_PT.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/vw/Volkswagen_Jetta_PA_2022_5d_EN_edit.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/vw/Volkswagen_Jetta_PA_2022_5d_ES_edit.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/vw/Volkswagen_Jetta_PA_2022_5d_PT_edit.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/vw/cata_CC_81logo-volkswagen-nuevo-gti-2025.pdf,18,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_potencia_hp;mot_tipo_motor;mot_torque_nm;seg_act_abs;seg_act_esp
data/oem_specs/vw/catalogo-volkswagen-gli-2025.pdf,16,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_tipo_motor;seg_act_abs;seg_act_esp
data/oem_specs/vw/catalogo-volkswagen-jetta-2025.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/vw/catalogo-volkswagen-nuevo-tiguan-2025.pdf,19,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_torque_nm;seg_act_abs;seg_act_esp
