make,model,version,anio_modelo_seminuevo,precio,vehicleid_master
FIAT,PULSE,Drive MT,2018,307697,FIAT_PULSE_Drive MT_2018
TOYOTA,COROLLA,LE,2015,460592,TOYOTA_COROLLA_LE_2015
CHEVROLET,ONIX,LS,2022,223565,CHEVROLET_ONIX_LS_2022
ACURA,ADX,A-Spec,2022,127457,ACURA_ADX_A-Spec_2022
ACURA,MDX,Type S,2017,458381,ACURA_MDX_Type S_2017
FORD,ECOSPORT,S,2016,230954,FORD_ECOSPORT_S_2016
CHEVROLET,TRACKER,RS,2021,239628,CHEVROLET_TRACKER_RS_2021
FIAT,PULSE,Drive Plus CVT,2019,168477,FIAT_PULSE_Drive Plus CVT_2019
HONDA,HR-V,Touring,2022,300936,HONDA_HR-V_Touring_2022
FORD,ECOSPORT,Titanium,2022,318634,FORD_ECOSPORT_Titanium_2022
HONDA,HR-V,EX,2020,382662,HONDA_HR-V_EX_2020
ACURA,ADX,A-Spec,2017,475519,ACURA_ADX_A-Spec_2017
FIAT,PULSE,Drive MT,2019,373165,FIAT_PULSE_Drive MT_2019
HONDA,CR-V,Touring,2021,174817,HONDA_CR-V_Touring_2021
TOYOTA,COROLLA,SE,2017,125770,TOYOTA_COROLLA_SE_2017
FORD,explorer,Unknown Version,2017,290123,FORD_explorer_Unknown Version_2017
TOYOTA,COROLLA,LE,2017,562218,TOYOTA_COROLLA_LE_2017
FORD,explorer,Unknown Version,2016,434560,FORD_explorer_Unknown Version_2016
ACURA,ADX,Advance,2017,558896,ACURA_ADX_Advance_2017
FORD,explorer,Unknown Version,2015,456592,FORD_explorer_Unknown Version_2015
FORD,MAVERICK,XLT,2019,288871,FORD_MAVERICK_XLT_2019
FORD,ECOSPORT,Titanium,2019,156954,FORD_ECOSPORT_Titanium_2019
FORD,ECOSPORT,SE,2018,439376,FORD_ECOSPORT_SE_2018
HONDA,CR-V,LX,2015,327446,HONDA_CR-V_LX_2015
FORD,MAVERICK,Lariat,2015,224858,FORD_MAVERICK_Lariat_2015
ACURA,MDX,Advance,2016,548492,ACURA_MDX_Advance_2016
FORD,ECOSPORT,Titanium,2016,425254,FORD_ECOSPORT_Titanium_2016
HONDA,CIVIC,Touring,2020,239201,HONDA_CIVIC_Touring_2020
