make,model,motor,dimensiones,capacidad,seguridad,eficiencia,tecnologia,amenidades
BYD,SONG PLUS,0.0,40.0,0.0,66.66666666666666,0.0,100.0,100.0
FORD,TERRITORY,66.66666666666666,0.0,0.0,66.66666666666666,0.0,100.0,100.0
GWM,ORA 03,0.0,0.0,0.0,66.66666666666666,0.0,80.0,100.0
GWM,POER,66.66666666666666,0.0,0.0,100.0,0.0,100.0,100.0
HONDA,CR-V,33.33333333333333,0.0,25.0,66.66666666666666,0.0,80.0,100.0
JAECOO,JAECOO 7,16.666666666666664,0.0,12.5,83.33333333333333,0.0,90.0,100.0
MAZDA,CX-5,66.66666666666666,0.0,0.0,66.66666666666666,0.0,100.0,100.0
NISSAN,KICKS,33.33333333333333,0.0,25.0,66.66666666666666,0.0,80.0,100.0
TOYOTA,4RUNNER,16.666666666666664,0.0,0.0,66.66666666666666,0.0,80.0,100.0
TOYOTA,RAV4,66.66666666666666,0.0,25.0,100.0,0.0,100.0,100.0
VOLKSWAGEN,TIGUAN,50.0,80.0,25.0,66.66666666666666,0.0,100.0,100.0
