make,category,missing_pct,rows,fields_considered
ABARTH,motor,66.7,2,9
ABARTH,dimensiones,90.0,2,10
ABARTH,capacidad,80.0,2,5
ABARTH,seguridad,33.3,2,3
ABARTH,tecnologia,33.3,2,6
ABARTH,amenidades,0.0,2,5
ABARTH,ev,100.0,2,5
ACURA,motor,66.7,137,9
ACURA,dimensiones,90.0,137,10
ACURA,capacidad,80.0,137,5
ACURA,seguridad,33.3,137,3
ACURA,tecnologia,33.3,137,6
ACURA,amenidades,0.0,137,5
ACURA,ev,100.0,137,5
ALFA ROMEO,motor,66.7,112,9
ALFA ROMEO,dimensiones,90.0,112,10
ALFA ROMEO,capacidad,80.0,112,5
ALFA ROMEO,seguridad,33.3,112,3
ALFA ROMEO,tecnologia,33.3,112,6
ALFA ROMEO,amenidades,0.0,112,5
ALFA ROMEO,ev,100.0,112,5
ARRA,motor,66.7,7,9
ARRA,dimensiones,90.0,7,10
ARRA,capacidad,80.0,7,5
ARRA,seguridad,33.3,7,3
ARRA,tecnologia,33.3,7,6
ARRA,amenidades,0.0,7,5
ARRA,ev,100.0,7,5
AUDI,motor,66.8,1855,9
AUDI,dimensiones,90.0,1855,10
AUDI,capacidad,80.0,1855,5
AUDI,seguridad,33.3,1855,3
AUDI,tecnologia,33.3,1855,6
AUDI,amenidades,0.0,1855,5
AUDI,ev,100.0,1855,5
BAIC,motor,67.0,65,9
BAIC,dimensiones,90.0,65,10
BAIC,capacidad,80.0,65,5
BAIC,seguridad,33.3,65,3
BAIC,tecnologia,33.3,65,6
BAIC,amenidades,0.0,65,5
BAIC,ev,100.0,65,5
BENTLEY,motor,66.7,48,9
BENTLEY,dimensiones,90.0,48,10
BENTLEY,capacidad,80.0,48,5
BENTLEY,seguridad,33.3,48,3
BENTLEY,tecnologia,33.3,48,6
BENTLEY,amenidades,0.0,48,5
BENTLEY,ev,100.0,48,5
BESTUNE,motor,66.7,25,9
BESTUNE,dimensiones,90.0,25,10
BESTUNE,capacidad,80.0,25,5
BESTUNE,seguridad,33.3,25,3
BESTUNE,tecnologia,33.3,25,6
BESTUNE,amenidades,0.0,25,5
BESTUNE,ev,100.0,25,5
BMW,motor,67.0,2597,9
BMW,dimensiones,90.2,2597,10
BMW,capacidad,80.0,2597,5
BMW,seguridad,33.6,2597,3
BMW,tecnologia,33.8,2597,6
BMW,amenidades,0.8,2597,5
BMW,ev,100.0,2597,5
BPS,motor,70.4,6,9
BPS,dimensiones,91.7,6,10
BPS,capacidad,80.0,6,5
BPS,seguridad,38.9,6,3
BPS,tecnologia,41.7,6,6
BPS,amenidades,16.7,6,5
BPS,ev,100.0,6,5
BUICK,motor,66.9,99,9
BUICK,dimensiones,90.1,99,10
BUICK,capacidad,80.0,99,5
BUICK,seguridad,33.3,99,3
BUICK,tecnologia,33.3,99,6
BUICK,amenidades,0.0,99,5
BUICK,ev,100.0,99,5
BYD,motor,67.4,29,9
BYD,dimensiones,90.0,29,10
BYD,capacidad,80.0,29,5
BYD,seguridad,33.3,29,3
BYD,tecnologia,33.3,29,6
BYD,amenidades,0.0,29,5
BYD,ev,100.0,29,5
CADILLAC,motor,66.9,336,9
CADILLAC,dimensiones,90.2,336,10
CADILLAC,capacidad,80.0,336,5
CADILLAC,seguridad,33.3,336,3
CADILLAC,tecnologia,33.3,336,6
CADILLAC,amenidades,0.0,336,5
CADILLAC,ev,100.0,336,5
CHANGAN,motor,66.7,57,9
CHANGAN,dimensiones,90.0,57,10
CHANGAN,capacidad,80.0,57,5
CHANGAN,seguridad,33.3,57,3
CHANGAN,tecnologia,33.3,57,6
CHANGAN,amenidades,0.0,57,5
CHANGAN,ev,100.0,57,5
CHEVROLET,motor,66.9,2766,9
CHEVROLET,dimensiones,90.1,2766,10
CHEVROLET,capacidad,80.0,2766,5
CHEVROLET,seguridad,33.4,2766,3
CHEVROLET,tecnologia,33.4,2766,6
CHEVROLET,amenidades,0.2,2766,5
CHEVROLET,ev,100.0,2766,5
CHIREY,motor,66.7,36,9
CHIREY,dimensiones,90.0,36,10
CHIREY,capacidad,80.0,36,5
CHIREY,seguridad,33.3,36,3
CHIREY,tecnologia,33.3,36,6
CHIREY,amenidades,0.0,36,5
CHIREY,ev,100.0,36,5
CHRYSLER,motor,66.8,362,9
CHRYSLER,dimensiones,90.0,362,10
CHRYSLER,capacidad,80.0,362,5
CHRYSLER,seguridad,33.3,362,3
CHRYSLER,tecnologia,33.3,362,6
CHRYSLER,amenidades,0.0,362,5
CHRYSLER,ev,100.0,362,5
CUPRA,motor,69.1,36,9
CUPRA,dimensiones,91.1,36,10
CUPRA,capacidad,80.0,36,5
CUPRA,seguridad,37.0,36,3
CUPRA,tecnologia,38.9,36,6
CUPRA,amenidades,11.1,36,5
CUPRA,ev,100.0,36,5
DFSK,motor,66.7,5,9
DFSK,dimensiones,90.0,5,10
DFSK,capacidad,80.0,5,5
DFSK,seguridad,33.3,5,3
DFSK,tecnologia,33.3,5,6
DFSK,amenidades,0.0,5,5
DFSK,ev,100.0,5,5
DODGE,motor,66.8,1048,9
DODGE,dimensiones,90.1,1048,10
DODGE,capacidad,80.0,1048,5
DODGE,seguridad,33.3,1048,3
DODGE,tecnologia,33.3,1048,6
DODGE,amenidades,0.0,1048,5
DODGE,ev,100.0,1048,5
DONGFENG,motor,70.0,10,9
DONGFENG,dimensiones,92.0,10,10
DONGFENG,capacidad,80.0,10,5
DONGFENG,seguridad,36.7,10,3
DONGFENG,tecnologia,38.3,10,6
DONGFENG,amenidades,10.0,10,5
DONGFENG,ev,100.0,10,5
FAW,motor,66.7,12,9
FAW,dimensiones,90.0,12,10
FAW,capacidad,80.0,12,5
FAW,seguridad,33.3,12,3
FAW,tecnologia,33.3,12,6
FAW,amenidades,0.0,12,5
FAW,ev,100.0,12,5
FERRARI,motor,66.7,85,9
FERRARI,dimensiones,90.0,85,10
FERRARI,capacidad,80.0,85,5
FERRARI,seguridad,33.3,85,3
FERRARI,tecnologia,33.3,85,6
FERRARI,amenidades,0.0,85,5
FERRARI,ev,100.0,85,5
FIAT,motor,67.1,344,9
FIAT,dimensiones,90.0,344,10
FIAT,capacidad,80.0,344,5
FIAT,seguridad,33.3,344,3
FIAT,tecnologia,33.3,344,6
FIAT,amenidades,0.0,344,5
FIAT,ev,100.0,344,5
FORD,motor,66.8,3028,9
FORD,dimensiones,90.1,3028,10
FORD,capacidad,80.0,3028,5
FORD,seguridad,33.3,3028,3
FORD,tecnologia,33.3,3028,6
FORD,amenidades,0.0,3028,5
FORD,ev,100.0,3028,5
FOTON,motor,66.7,31,9
FOTON,dimensiones,90.0,31,10
FOTON,capacidad,80.0,31,5
FOTON,seguridad,33.3,31,3
FOTON,tecnologia,33.3,31,6
FOTON,amenidades,0.0,31,5
FOTON,ev,100.0,31,5
GAC MOTOR,motor,67.0,31,9
GAC MOTOR,dimensiones,90.0,31,10
GAC MOTOR,capacidad,80.0,31,5
GAC MOTOR,seguridad,33.3,31,3
GAC MOTOR,tecnologia,33.3,31,6
GAC MOTOR,amenidades,0.0,31,5
GAC MOTOR,ev,100.0,31,5
GEELY,motor,66.7,26,9
GEELY,dimensiones,90.0,26,10
GEELY,capacidad,80.0,26,5
GEELY,seguridad,33.3,26,3
GEELY,tecnologia,33.3,26,6
GEELY,amenidades,0.0,26,5
GEELY,ev,100.0,26,5
GEO,motor,66.7,4,9
GEO,dimensiones,90.0,4,10
GEO,capacidad,80.0,4,5
GEO,seguridad,33.3,4,3
GEO,tecnologia,33.3,4,6
GEO,amenidades,0.0,4,5
GEO,ev,100.0,4,5
GIANT MOTORS,motor,66.7,12,9
GIANT MOTORS,dimensiones,90.0,12,10
GIANT MOTORS,capacidad,80.0,12,5
GIANT MOTORS,seguridad,33.3,12,3
GIANT MOTORS,tecnologia,33.3,12,6
GIANT MOTORS,amenidades,0.0,12,5
GIANT MOTORS,ev,100.0,12,5
GMC,motor,66.6,194,9
GMC,dimensiones,90.0,194,10
GMC,capacidad,80.0,194,5
GMC,seguridad,33.3,194,3
GMC,tecnologia,33.1,194,6
GMC,amenidades,0.0,194,5
GMC,ev,100.0,194,5
GWM,motor,68.1,30,9
GWM,dimensiones,90.7,30,10
GWM,capacidad,80.0,30,5
GWM,seguridad,35.6,30,3
GWM,tecnologia,36.7,30,6
GWM,amenidades,6.7,30,5
GWM,ev,100.0,30,5
HONDA,motor,66.8,681,9
HONDA,dimensiones,90.0,681,10
HONDA,capacidad,80.0,681,5
HONDA,seguridad,33.3,681,3
HONDA,tecnologia,33.3,681,6
HONDA,amenidades,0.0,681,5
HONDA,ev,100.0,681,5
HUMMER,motor,66.7,27,9
HUMMER,dimensiones,90.0,27,10
HUMMER,capacidad,80.0,27,5
HUMMER,seguridad,33.3,27,3
HUMMER,tecnologia,33.3,27,6
HUMMER,amenidades,0.0,27,5
HUMMER,ev,100.0,27,5
HYUNDAI,motor,66.8,335,9
HYUNDAI,dimensiones,90.1,335,10
HYUNDAI,capacidad,80.0,335,5
HYUNDAI,seguridad,33.5,335,3
HYUNDAI,tecnologia,33.6,335,6
HYUNDAI,amenidades,0.6,335,5
HYUNDAI,ev,100.0,335,5
INEOS,motor,66.7,6,9
INEOS,dimensiones,90.0,6,10
INEOS,capacidad,80.0,6,5
INEOS,seguridad,33.3,6,3
INEOS,tecnologia,33.3,6,6
INEOS,amenidades,0.0,6,5
INEOS,ev,100.0,6,5
INFINITI,motor,66.8,213,9
INFINITI,dimensiones,90.0,213,10
INFINITI,capacidad,80.0,213,5
INFINITI,seguridad,33.3,213,3
INFINITI,tecnologia,33.3,213,6
INFINITI,amenidades,0.0,213,5
INFINITI,ev,100.0,213,5
JAC,motor,66.7,178,9
JAC,dimensiones,90.0,178,10
JAC,capacidad,80.0,178,5
JAC,seguridad,33.3,178,3
JAC,tecnologia,33.3,178,6
JAC,amenidades,0.0,178,5
JAC,ev,100.0,178,5
JAECOO,motor,66.7,5,9
JAECOO,dimensiones,90.0,5,10
JAECOO,capacidad,80.0,5,5
JAECOO,seguridad,33.3,5,3
JAECOO,tecnologia,33.3,5,6
JAECOO,amenidades,0.0,5,5
JAECOO,ev,100.0,5,5
JAGUAR,motor,66.7,433,9
JAGUAR,dimensiones,90.0,433,10
JAGUAR,capacidad,80.0,433,5
JAGUAR,seguridad,33.3,433,3
JAGUAR,tecnologia,33.3,433,6
JAGUAR,amenidades,0.0,433,5
JAGUAR,ev,100.0,433,5
JEEP,motor,66.8,658,9
JEEP,dimensiones,90.1,658,10
JEEP,capacidad,80.0,658,5
JEEP,seguridad,33.3,658,3
JEEP,tecnologia,33.3,658,6
JEEP,amenidades,0.0,658,5
JEEP,ev,100.0,658,5
JETOUR,motor,66.7,15,9
JETOUR,dimensiones,90.0,15,10
JETOUR,capacidad,80.0,15,5
JETOUR,seguridad,33.3,15,3
JETOUR,tecnologia,33.3,15,6
JETOUR,amenidades,0.0,15,5
JETOUR,ev,100.0,15,5
JIM,motor,66.7,10,9
JIM,dimensiones,90.0,10,10
JIM,capacidad,80.0,10,5
JIM,seguridad,33.3,10,3
JIM,tecnologia,33.3,10,6
JIM,amenidades,0.0,10,5
JIM,ev,100.0,10,5
JMC,motor,67.9,18,9
JMC,dimensiones,90.6,18,10
JMC,capacidad,80.0,18,5
JMC,seguridad,35.2,18,3
JMC,tecnologia,36.1,18,6
JMC,amenidades,5.6,18,5
JMC,ev,100.0,18,5
KIA,motor,66.6,421,9
KIA,dimensiones,90.1,421,10
KIA,capacidad,80.0,421,5
KIA,seguridad,33.3,421,3
KIA,tecnologia,33.1,421,6
KIA,amenidades,0.0,421,5
KIA,ev,100.0,421,5
KING LONG,motor,66.7,8,9
KING LONG,dimensiones,90.0,8,10
KING LONG,capacidad,80.0,8,5
KING LONG,seguridad,33.3,8,3
KING LONG,tecnologia,33.3,8,6
KING LONG,amenidades,0.0,8,5
KING LONG,ev,100.0,8,5
LAND ROVER,motor,66.7,678,9
LAND ROVER,dimensiones,90.0,678,10
LAND ROVER,capacidad,80.0,678,5
LAND ROVER,seguridad,33.3,678,3
LAND ROVER,tecnologia,33.3,678,6
LAND ROVER,amenidades,0.0,678,5
LAND ROVER,ev,100.0,678,5
LEXUS,motor,66.7,67,9
LEXUS,dimensiones,90.0,67,10
LEXUS,capacidad,80.0,67,5
LEXUS,seguridad,33.3,67,3
LEXUS,tecnologia,33.3,67,6
LEXUS,amenidades,0.0,67,5
LEXUS,ev,100.0,67,5
LINCOLN,motor,66.8,285,9
LINCOLN,dimensiones,90.1,285,10
LINCOLN,capacidad,80.0,285,5
LINCOLN,seguridad,33.3,285,3
LINCOLN,tecnologia,33.3,285,6
LINCOLN,amenidades,0.0,285,5
LINCOLN,ev,100.0,285,5
LOTUS,motor,66.7,7,9
LOTUS,dimensiones,90.0,7,10
LOTUS,capacidad,80.0,7,5
LOTUS,seguridad,33.3,7,3
LOTUS,tecnologia,33.3,7,6
LOTUS,amenidades,0.0,7,5
LOTUS,ev,100.0,7,5
MASERATI,motor,66.7,73,9
MASERATI,dimensiones,90.0,73,10
MASERATI,capacidad,80.0,73,5
MASERATI,seguridad,33.3,73,3
MASERATI,tecnologia,33.3,73,6
MASERATI,amenidades,0.0,73,5
MASERATI,ev,100.0,73,5
MASTRETTA,motor,66.7,2,9
MASTRETTA,dimensiones,90.0,2,10
MASTRETTA,capacidad,80.0,2,5
MASTRETTA,seguridad,33.3,2,3
MASTRETTA,tecnologia,33.3,2,6
MASTRETTA,amenidades,0.0,2,5
MASTRETTA,ev,100.0,2,5
MAYBACH,motor,66.7,15,9
