make,model,version,ano,mot_tipo_motor,mot_potencia_hp,mot_torque_nm,mot_aspiracion,mot_traccion,mot_transmision,mot_marchas,dim_largo_mm,dim_ancho_mm,dim_alto_mm,dim_batalla_mm,dim_peso_kg,cap_baul_l,cap_carga_util_kg,remolque_frenado_kg,cap_plazas,seg_pas_airbags_cnt,seg_act_abs,seg_act_esp,eff_consumo_l_100km,eff_kwh_100km,eff_co2_g_km,bateria_kwh,autonomia_km,carga_dc_kw,carga_ac_kw,info_pantalla_pulg,info_android_auto,info_apple_carplay,info_camara_360,info_cargador_inalambrico,amen_techo_panoramico,conf_asientos_calefaccion,conf_asientos_ventilacion,adas_aeb,adas_acc,adas_lka,adas_bsm,adas_rcta,luces_matriz_led,chasis_frenos_del,chasis_frenos_tras,chasis_susp_del,chasis_susp_tras,ruedas_neumatico_medida,ruedas_rin_pulg,angulo_ataque_deg,angulo_salida_deg,angulo_quiebre_deg,despeje_suelo_mm,cap_tanque_l,fuente_url,ano_source,ano_catalog,audit_status
CHEVROLET,AVEO,"B LT, MANUAL CON A/A, ALARMA, RADIO, BLU",2025,gasolina,5.8,,,,●,6.0,,,,,,,,,,2.0,1,1,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,●,,,,,,,,file://data/oem_specs_processed/chevrolet/2025-Aveo-HB-Ficha-Tecnica-v3.pdf,file:ano,2015,conflict
2025,CATALOGO,ACCESORIOS,2025,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/2025-Catalogo-Accesorios-Aveo-HB.pdf,file:ano,,ok
CHEVROLET,TRAX,B LT,2025,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/2025-Catalogo-Accesorios-Trax-NG.pdf,file:ano,2013,conflict
CHEVROLET,TRAX,D LTZ TURBO,2025,gasolina,5.0,2.5,,,AUTOMÁTICA,6.0,,,,,,,,,,2.0,0,0,,,,,,,,11.0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/2025-Catalogo-Trax.pdf,file:ano,2014,conflict
CHEVROLET,TRAX,D LTZ TURBO,2025,gasolina,5.0,,,FWD,AUTOMÁTICA,6.0,,,,,,,,,,2.0,1,1,,,,,,,,11.0,1,1,0,1,0,0,0,0,0,0,0,0,0,● ●,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/2025-Ficha-Tecnica-Trax.pdf,file:ano,2014,conflict
CHEVROLET,AVEO,"B LT, MANUAL CON A/A, ALARMA, RADIO, BLU",2025,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/2025-Manual-de-Propietario-Aveo-HB.pdf,file:ano,2015,conflict
CHEVROLET,TRAX,B LT,2025,gasolina,,,,,,,,,,,,,,,,,1,1,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/2025-Trax-NG-Manual-de-Propietario.pdf,file:ano,2013,conflict
CHEVROLET,SUBURBAN,5.3L D 4X4 PIEL DVD QUEMACOCOS,2025,diésel,,,,,AT,,,,,,,,,,,,1,1,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/2025-suburban-manual-de-propietario.pdf,file:ano,2009,conflict
CHEVROLET,TAHOE,D PIEL QUEMACOCOS DVD,2025,diésel,,,,,AT,,,,,,,,,,,,1,1,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/2025-tahoe-manual-de-propietario.pdf,file:ano,2008,conflict
CHEVROLET,GROOVE,LT AUTOMÁTICO E,2026,,,,,,AT,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/2026-groove-manual-propietario.pdf,file:ano,2024,conflict
CHEVROLET,CAPTIVA,LT A,2026,,,,,,AT,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/2026_Captiva_Manual_de_Propietario.pdf,file:ano,2022,conflict
CHEVROLET,GROOVE,LT AUTOMÁTICO E,2025,,,1.0,,,AT,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/25-CHEV-Groove-Manual-de-propietario-v1.pdf,text:ano,2024,conflict
CHEVROLET,AVEO,"B LT, MANUAL CON A/A, ALARMA, RADIO, BLU",2024,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/25-chev-aveo-om-manual-de-propietario.pdf,text:ano,2015,conflict
CATALOGO,ACCESORIOS,CAPTIVA,2026,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/chevrolet/Catalogo-Accesorios-Captiva-2026.pdf,file:ano,,ok
