make,model,version,ano,mot_tipo_motor,mot_potencia_hp,mot_torque_nm,mot_aspiracion,mot_traccion,mot_transmision,mot_marchas,dim_largo_mm,dim_ancho_mm,dim_alto_mm,dim_batalla_mm,dim_peso_kg,cap_baul_l,cap_carga_util_kg,remolque_frenado_kg,cap_plazas,seg_pas_airbags_cnt,seg_act_abs,seg_act_esp,eff_consumo_l_100km,eff_kwh_100km,eff_co2_g_km,bateria_kwh,autonomia_km,carga_dc_kw,carga_ac_kw,info_pantalla_pulg,info_android_auto,info_apple_carplay,info_camara_360,info_cargador_inalambrico,amen_techo_panoramico,conf_asientos_calefaccion,conf_asientos_ventilacion,adas_aeb,adas_acc,adas_lka,adas_bsm,adas_rcta,luces_matriz_led,chasis_frenos_del,chasis_frenos_tras,chasis_susp_del,chasis_susp_tras,ruedas_neumatico_medida,ruedas_rin_pulg,angulo_ataque_deg,angulo_salida_deg,angulo_quiebre_deg,despeje_suelo_mm,cap_tanque_l,fuente_url,ano_source,ano_catalog,has_year,has_cat_year,conflict,ambiguous_source
BYD,DOLPHIN,BEV 45KWH GS,2024,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/BYD/BYD DOLPHIN Flyer-ES-MX-20241007.pdf,text:ano,2023,True,True,True,True
BYD,HAN,BEV 85KWH,2024,gasolina,87.2,,,AWD,,,,,,,,,,,,2.0,0,0,,,,,,,,15.6,1,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/BYD/BYD HAN Flyer-ES-MX-20241008.pdf,text:ano,2023,True,True,True,True
BYD,SEAL,61KWH RWD,2024,eléctrico,214.6,,,,,,,1875.0,,2920.0,,,,,,,0,0,,,,,,,,15.6,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/BYD/BYD SEAL Flyer-ES-MX-20241007.pdf,text:ano,2024,True,True,False,True
BYD,SHARK,GL,2024,híbrido,228.0,,,AWD,,,,1971.0,1925.0,3260.0,,,,,,3.0,0,0,,,,,,,,18.0,0,0,0,0,0,1,1,1,1,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/BYD/BYD SHARK Flyer-ES-MX-20241007.pdf,text:ano,2025,True,True,True,True
BYD,TANG,BEV 86KWH,2024,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/BYD/BYD TANG Flyer-ES-MX-20241007.pdf,text:ano,2023,True,True,True,True
BYD,YUAN,FLYER,2050,eléctrico,,,,,,,4455.0,1875.0,,2720.0,,,,,,4.0,1,0,,,,,,,,12.8,0,0,0,1,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/BYD/BYD YUAN Flyer-ES-MX- 20241007.pdf,text:ano,,True,False,False,True
BYD,YUAN PRO,BEV 45KWH 380KM GS,2024,gasolina,,,,,,,,,,2620.0,,,,,,,1,0,,,,,,,,17.0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/BYD/BYD YUAN PRO Flyer-ES-MX-20241216.pdf,text:ano,2025,True,True,True,True
BYD,SONG PRO,DM-I 1.5L FWD,2085,híbrido,301.7,,,,,,,4738.0,,,,,,,,,1,1,4.41,,,,,,,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/BYD/BYD-SONG-PRO-Flyer-ES-MX-20250409.pdf,text:ano,2025,True,True,True,True
FLYER,BYD,M9,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/BYD/Flyer-BYD-M9-ES-MX-20250619.pdf,,,False,False,False,False
BYD,SEAL,82KWH AWD,2025,eléctrico,214.6,,,,,,,4830.0,,2930.0,,,,,,1.0,0,1,,,,,,,,10.25,1,0,0,1,1,0,0,1,1,1,0,1,0,,,,,,,,,,,,file://data/oem_specs_processed/BYD/SEALION-7.pdf,text:ano,2024,True,True,True,True
FORD,MUSTANG,DARK HORSE COUPE V8 5.0L AUTOMATICO PIEL,2025,,,,,,,,,,,,,,,,,,0,0,,,,,,,,13.2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/ford/ford-mustang-2025-catalogo-descargable.pdf,text:ano_modelo,2025,True,True,False,True
25,GMC,HUMMER,2025,gasolina,,,,,,,,,,,,,,,,1.0,1,1,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/gmc/25_GMC_Hummer_EV_OM_es_MX_U_MX_18270642A_2024OCT10.pdf,text:ano,,True,False,False,True
GWM,POER,2.0L TURBO LUXURY AT,2013,híbrido,248.0,,,AWD,AT,,,,,,,,,,,2.0,1,1,,,,,,,,14.6,1,1,1,1,0,1,1,1,1,1,0,1,0,,,,,,,,,,,,file://data/oem_specs_processed/gwm/GWM-POER 500 Ficha Tecnica.pdf,text:ano,2025,True,True,True,True
GWM,POER,2.0L TURBO LUXURY AT 4X4,2003,gasolina,187.0,,,4WD,AT,,,,,,,,,,,2.0,1,1,,,,,,,,,1,1,1,1,0,1,0,1,1,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/gwm/GWM-POER AT Pasajeros-ficha tecnica.pdf,text:ano,2025,True,True,True,True
GWM,POER,2.0L TURBO LUXURY AT,2003,,,,,,,,,,,,,,,,,2.0,1,1,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/gwm/GWM-POER MT Comercial-Ficha Tecnica.pdf,text:ano,2025,True,True,True,True
DODGE,RAM,2500 QUAD CAB SLT 5.7 4X2 SPORT,2003,eléctrico,99.0,,,,,,,,,,,,,,,2.0,1,1,,,,,,,,10.25,1,1,1,1,1,1,0,1,1,1,0,1,0,,,,,,,,,,,,file://data/oem_specs_processed/gwm/jolion-hev-ficha-tecnica.pdf,text:ano,2006,True,True,True,True
HYUNDAI,CRETA,GLS IVT,2021,gasolina,113.0,,,,MANUAL,,,,,,,,,,5.0,,1,1,,,,,,,,10.25,1,1,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/hyundai/FichaTecnica_Creta2026.pdf,text:ano,2021,True,True,False,True
FICHATECNICA,GRANDFACELIFT2026,UNSPEC,2013,gasolina,157.0,,,,AUTOMÁTICA,6.0,,,,,,,,,7.0,,1,1,,,,,,,,10.25,1,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/hyundai/FichaTecnica_GrandFacelift2026.pdf,text:ano,,True,False,False,True
HYUNDAI,PALISADE,LIMITED TECH,2013,gasolina,291.0,,,,AUTOMÁTICA,8.0,,,,,,,,,7.0,1.0,1,1,,,,,,,,12.3,1,1,1,1,0,1,1,0,0,1,1,0,0,,,,,,,,,,,,file://data/oem_specs_processed/hyundai/Ficha_Tecnica_Palisade.pdf,text:ano,2022,True,True,True,True
HYUNDAI,ELANTRA,GLS PREMIUM DCT HEV,2021,híbrido,105.0,2.0,,,DCT,6.0,,,,,,,,,5.0,,1,1,,,,,,,,10.25,1,1,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/hyundai/Fichatecnica_elantrahibrido2026.pdf,text:ano,2023,True,True,True,True
JAECOO,JAECOO 7,ELEMENTAL,2003,híbrido,141.0,,,,,,,,,,,,,,5.0,2.0,0,1,,,,,,,,10.25,1,1,0,0,1,0,0,1,1,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/jaecoo/JAECOO-7-PHEV-Ficha-Técnica.pdf,text:ano,2024,True,True,True,True
GWMMGARANTIA,NAN,UNSPEC,,eléctrico,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs/gwm/GWMMGarantia.pdf,,,False,False,False,False
MANTENIMIENTO,TODAS,JUNIO2025,2025,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs/gwm/mantenimiento-todas-junio2025-vertical.pdf,text:ano,,True,False,False,True
ROADSIDE,ASISTANCE,UNSPEC,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs/gwm/roadside-asistance.pdf,,,False,False,False,False
