make,model,version,ano
BAIC,EU5,BEIJING EU5,2024
BYD,DOLPHIN,BEV 45KWH GS,2023
BYD,DOLPHIN,BEV 45KWH GS,2024
BYD,DOLPHIN MINI,4 SEATS 300KM,2024
BYD,DOLPHIN MINI,4 SEATS 300KM,2025
BYD,DOLPHIN MINI,4 SEATS 300KM,2026
BYD,DOLPHIN MINI,4 SEATS 380KM,2024
BYD,DOLPHIN MINI,4 SEATS 380KM,2025
BYD,DOLPHIN MINI,4 SEATS 380KM,2026
BYD,HAN,BEV 85KWH,2023
BYD,HAN,BEV 85KWH,2024
BYD,KING,DM-I 1.5L FWD 55KM,2024
BYD,KING,DM-I 1.5L FWD 55KM,2025
BYD,KING,DM-I 1.5L FWD 55KM,2026
BYD,SEAL,61KWH RWD,2024
BYD,SEAL,61KWH RWD,2025
BYD,SEAL,82KWH AWD,2024
BYD,SEAL,82KWH AWD,2025
BYD,SEALION 7,AWD 456KM,2025
BYD,SHARK,GL,2025
BYD,SHARK,GS,2025
BYD,SONG PLUS,DM-I 115KM,2024
BYD,SONG PLUS,DM-I 115KM,2025
BYD,SONG PLUS,DM-I 115KM,2026
BYD,SONG PRO,DM-I 1.5L FWD,2025
BYD,TANG,BEV 86KWH,2023
BYD,TANG,BEV 86KWH,2024
BYD,YUAN PLUS,BEV 60KWH 480KM GS,2023
BYD,YUAN PLUS,BEV 60KWH 480KM GS,2024
BYD,YUAN PRO,BEV 45KWH 380KM GS,2025
CHANGAN,CS55 PLUS IDD,LUXURY,2026
CHANGAN,CS55 PLUS IDD,PREMIUM,2026
CHANGAN,DEEPAL S07,BEV 160KWH,2025
CHANGAN,DEEPAL S07,REEV 165KWH,2025
CHANGAN,EADO PLUS IDD,LUXURY,2026
CHANGAN,EADO PLUS IDD,PREMIUM,2026
CHIREY,TIGGO 7 PRO,1.5T PREMIUM,2024
CHIREY,TIGGO 8 PRO,1.5 E+,2023
CHIREY,TIGGO 8 PRO,1.5 E+,2024
CHIREY,TIGGO 8 PRO,1.5 E+,2025
DONGFENG,E70,-,2024
FOTON,TM3,E-TM3,2025
FOTON,VIEW CS2,E-VIEW,2025
GEELY,GEOMETRY C,GF,2024
GEELY,GEOMETRY C,GL,2024
GWM,ORA 03,48KWH PREMIUM,2024
GWM,ORA 03,48KWH PREMIUM,2025
GWM,ORA 03,63KWH LUXURY,2024
GWM,ORA 03,63KWH LUXURY,2025
JAC,E J7,BEV 50KWH,2022
JAC,E J7,BEV 50KWH,2023
JAC,E J7,BEV 50KWH,2024
JAC,E SUNRAY,50KWH E SUNRAY CITY,2023
JAC,E SUNRAY,50KWH E SUNRAY CITY,2024
JAC,E SUNRAY,72KWH CARGO 10.5,2025
JAC,E SUNRAY,92KWH CARGO,2024
JAC,E SUNRAY,92KWH CARGO 12.3,2025
JAC,E10X,30KWH CARGO,2022
JAC,E10X,30KWH CARGO,2023
JAC,E10X,30KWH CARGO,2024
JAC,E10X,30KWH PASAJEROS,2022
JAC,E10X,30KWH PASAJEROS,2023
JAC,E10X,30KWH PASAJEROS,2024
JAC,E10X,30KWH PASAJEROS,2025
JAC,E30X,41KWH ADVANCED,2025
JAC,E30X,41KWH LIMITED,2025
JAC,ESEI 2,42KWH AUTO,2020
JAC,ESEI 2,42KWH AUTO,2021
JAC,ESEI 4,55KWH AUTO,2020
JAC,ESEI 4,55KWH AUTO,2021
JAC,ESEI 4 PRO,52KWH AUTO,2023
JAC,ESEI 4 PRO,52KWH AUTO,2024
JAC,ESEI1,41KWH AUTO,2020
JAC,ESEI1,41KWH AUTO,2021
JAC,ESEI1,41KWH CARGO AUTO,2021
JAECOO,JAECOO 7,PHEV ELEMENTAL,2025
JAECOO,JAECOO 7,PHEV INSPIRE,2025
JETOUR,T2,SAVAGE I-DM 3DHT,2026
JMC,EV BLACK,ELCTRICO,2024
JMC,Ev Black,Eléctrico,2024
MG,CYBERSTER,TRHOPY AWD 100 ANIVERSARY,2025
MG,CYBERSTER,TROPHY AWD 100 ANIVERSARY MODERN BEIGE R,2025
MG,EHS,1.5T LUX TROPHY AT,2024
MG,EZS,DYNAMO,2024
MG,IM LS7,LUX ELITE AT,2025
MG,MG4 EV,EDU AWD 64 X POWER AT,2024
MG,MG4 EV,EDU COM 51 STYLE AT,2024
MG,MG4 EV,EDU DEL 77 EXTENDED RANGE AT,2024
