file_path,file_name,make,model,version,ano,ano_source,text_len,pages_scanned,has_tables,ts_processed
/Users/Fernando.Molina/cortex-automotriz-comp/fichas_pdfs/BYD DOLPHIN Flyer-ES-MX-20241007.pdf,BYD DOLPHIN Flyer-ES-MX-20241007.pdf,BYD,DOLPHIN,BEV 45KWH GS,2024,text:ano,38406,6,0,2025-09-05T18:59:39.308200
/Users/Fernando.Molina/cortex-automotriz-comp/fichas_pdfs/BYD HAN Flyer-ES-MX-20241008.pdf,BYD HAN Flyer-ES-MX-20241008.pdf,BYD,HAN,BEV 85KWH,2024,text:ano,12318,6,0,2025-09-05T18:59:40.668105
/Users/Fernando.Molina/cortex-automotriz-comp/fichas_pdfs/BYD SEAL Flyer-ES-MX-20241007.pdf,BYD SEAL Flyer-ES-MX-20241007.pdf,BYD,SEAL,61KWH RWD,2024,text:ano,15364,6,0,2025-09-05T18:59:41.989501
/Users/Fernando.Molina/cortex-automotriz-comp/fichas_pdfs/BYD SHARK Flyer-ES-MX-20241007.pdf,BYD SHARK Flyer-ES-MX-20241007.pdf,BYD,SHARK,GL,2024,text:ano,16675,6,0,2025-09-05T18:59:43.596574
/Users/Fernando.Molina/cortex-automotriz-comp/fichas_pdfs/BYD TANG Flyer-ES-MX-20241007.pdf,BYD TANG Flyer-ES-MX-20241007.pdf,BYD,TANG,BEV 86KWH,2024,text:ano,50595,6,0,2025-09-05T18:59:44.884630
/Users/Fernando.Molina/cortex-automotriz-comp/fichas_pdfs/BYD_DOLPHIN_MINI_flyer-ES-MX-20250530.pdf,BYD_DOLPHIN_MINI_flyer-ES-MX-20250530.pdf,MINI,MINI,1.6 COOPER COUPE S HOT CHILI AT,2012,,4941,6,0,2025-09-05T19:02:32.989295
/Users/Fernando.Molina/cortex-automotriz-comp/fichas_pdfs/Brochure_CRV_2025.pdf,Brochure_CRV_2025.pdf,HONDA,CR-V,EX-L MANOS LIBRES,2025,file:ano,4654,6,0,2025-09-05T19:02:33.959079
/Users/Fernando.Molina/cortex-automotriz-comp/fichas_pdfs/Ficha_Tecnica_RAV4_25_web.pdf,Ficha_Tecnica_RAV4_25_web.pdf,TOYOTA,RAV4,2.5 XLE AWD AT,2025,text:MY,10006,6,1,2025-09-05T19:02:35.570160
/Users/Fernando.Molina/cortex-automotriz-comp/fichas_pdfs/Flyer-BYD-M9-ES-MX-20250619.pdf,Flyer-BYD-M9-ES-MX-20250619.pdf,FLYER,BYD,M9,,,0,6,0,2025-09-05T19:02:40.965835
/Users/Fernando.Molina/cortex-automotriz-comp/fichas_pdfs/GWM ORA03-ficha-tecnica-jul-2025.pdf,GWM ORA03-ficha-tecnica-jul-2025.pdf,GWM,ORA 03,63KWH LUXURY,2025,file:mes-ano,375,6,0,2025-09-05T19:02:45.171874
