MAKE,Model,Version,Año,Header Description,Body Style,Transmission,Número de Puertas,Cab Type,Driven Wheels,MSRP,Photo Path,VehicleID,Asientos delanteros con ventilación (conductor / pasajero),Tipo de Hybrid,Pantalla táctil,Integración móvil para Apple CarPlay,Rieles de techo,Quemacocos delantero,Seguros eléctricos en las puertas,Ventanas eléctricas (adelante / atrás),Volante eléctrico ajustable,Asistente de estacionamiento frontal,Plug-in,Aire acondicionado,Precio de transacción,Preparación para remolque,Apertura remota del maletero/puerta posterior,Ruedas traseras,Bolsas de aire laterales tipo cortina (adelante / de adelante h,Capacidad de asientos,Zonas con control del clima,Enchufe de carga,Enchufe de 12V (adelante / atrás / zona de carga),Asientos delanteros con calefacción (conductor / pasajero),Techo corredizo delantero,Control de estabilidad,Cámara de punto ciego,Caballos de fuerza,Bolsas de aire delanteras (conductor / pasajero),Sistema de alerta de colisión,Limpiaparabrisas con sensores de lluvia,Bocinas,Llave inteligente,ABS,Tracción,Asistente de estacionamiento trasero,"Tapizado adicional de asiento ",Combinado (km/l),Control eléctrico de tracción,Integración móvil para Android Auto,Bolsas de aire para las rodillas (conductor / pasajero),Tipo,Faros delanteros,Ruedas delanteras,Cierre automático del maletero/puerta posterior,Control de frenado en curvas,Modo de manejo de dirección,Motor,Bolsas de aire antisumergimiento (atrás / tercera fila),Cámara con vista envolvente,Luces antiniebla delanteras,Tercera fila de asientos,Bolsas de aire laterales (adelante / atrás / tercera fila),"Cámara de punto ciego ",Sensor de advertencia del punto ciego,Control automático de la velocidad,Longitud (mm),Tipo de combustible,Enganche de remolque
Acura,RDX,Advance,2025,Acura RDX Advance,Todo Terreno,Automático,5,No disponible,4WD,1164900.0,/SSCMEX/ACURA/RDX/2025/5OD-4.JPG,830282720250603,Estándar / Estándar,No disponible,No Disponible,Estándar,No Disponible,Estándar,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,1094900.00,No disponible,No Disponible,"19"" Aluminio",null,5,Dos,null,Estándar / No Disponible / Estándar,Estándar / Estándar,No disponible,"Estándar ",null,261,Estándar / Estándar,"Estándar ",No disponible,No disponible,Estándar,Estándar,4x4,"Visualización De Guía, Estándar ",Opcional Piel,12.8,No disponible,Estándar,Estándar / Estándar,Automático,"Led ","19"" Aluminio","Estándar ",No Disponible,Incluido,2.0L En Línea4,No Disponible / No Disponible,"Estándar ",Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,Estándar,"Estándar ",4766,Gasolina Premium,No Disponible
Nissan,Frontier,Frontier LE TM 24,2024,Nissan Frontier Frontier LE TM 24,Pick-up,Manual,4,Cabina Doble,RWD,637900.0,/SSCMEX/NISSAN/FRONTIER/2024/4PU-C.JPG,786911320250103,No disponible,No disponible,Estándar,Estándar,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No Disponible,No disponible,567900.00,No disponible,No disponible,"17"" Aluminio",null,No disponible,No disponible,null,No disponible,No disponible,No disponible,No disponible,null,166,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,trasera,No disponible,No disponible,No disponible,No disponible,Estándar,No disponible,Manual,No disponible,"17"" Aluminio",No disponible,No disponible,No disponible,2.5L En Línea4,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,5253,Gasolina,No disponible
Acura,RDX,Advance,2025,Acura RDX Advance,Todo Terreno,Automático,5,No disponible,4WD,1164900.0,/SSCMEX/ACURA/RDX/2025/5OD-4.JPG,830282720250603,Estándar / Estándar,No disponible,No Disponible,Estándar,No Disponible,Estándar,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,1094900.00,No disponible,No Disponible,"19"" Aluminio",null,5,Dos,null,Estándar / No Disponible / Estándar,Estándar / Estándar,No disponible,"Estándar ",null,261,Estándar / Estándar,"Estándar ",No disponible,No disponible,Estándar,Estándar,4x4,"Visualización De Guía, Estándar ",Opcional Piel,12.8,No disponible,Estándar,Estándar / Estándar,Automático,"Led ","19"" Aluminio","Estándar ",No Disponible,Incluido,2.0L En Línea4,No Disponible / No Disponible,"Estándar ",Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,Estándar,"Estándar ",4766,Gasolina Premium,No Disponible
Alfa Romeo,Tonale,Ti PHEV,2024,Alfa Romeo Tonale Ti PHEV,Todo Terreno,Automático,5,No disponible,4WD,1119900.0,/SSCMEX/ALFA ROMEO/TONALE/2024/5OD-4.JPG,838341920250201,Estándar / Estándar,Hibrido Activo,Estándar,Estándar,No Disponible,Estándar,Estándar,Estándar / Estándar,Estándar,"Estándar ",Estándar,Estándar,1119900.00,No disponible,No Disponible,"19"" Aluminio",null,5,Dos,null,Estándar / No Disponible / Estándar,Estándar / Estándar,No disponible,"Estándar ",null,285,Estándar / Estándar,"Estándar ",No disponible,No disponible,Estándar,Estándar,4x4,"No Disponible ",Piel,No disponible,No disponible,Estándar,Estándar / No Disponible,Automático,"Led ","19"" Aluminio","No Disponible ",Estándar,Incluido,1.3L En Línea4,No Disponible / No Disponible,"Estándar ",Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,Estándar,"Estándar ",4528,Eléctrico,No Disponible
Alfa Romeo,Tonale,Ti,2024,Alfa Romeo Tonale Ti,Todo Terreno,Automático,5,No disponible,AWD,961900.0,/SSCMEX/ALFA ROMEO/TONALE/2024/5OD-4.JPG,836870020250201,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No Disponible,No disponible,No disponible,No disponible,No disponible,"19"" Aluminio",null,No disponible,No disponible,null,No disponible,No disponible,No disponible,No disponible,null,268,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,Automático,No disponible,"19"" Aluminio",No disponible,No disponible,No disponible,2.0L En Línea4,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,4528,Gasolina Premium,No disponible
Acura,ADX,A-Spec,2025,Acura ADX A-Spec,Todo Terreno,Automático,5,No disponible,4WD,939900.0,/SSCMEX/ACURA/ADX/2025/5OD-4.JPG,847643520250318,Estándar / Estándar,No disponible,No Disponible,Estándar,No Disponible,Estándar,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,939900.00,No disponible,No Disponible,"19"" Aluminio",null,5,Dos,null,Estándar / No Disponible / Estándar,Estándar / Estándar,No disponible,"Estándar ",null,190,Estándar / Estándar,"Estándar ",No disponible,No disponible,Estándar,Estándar,4x4,"Visualización De Guía, Estándar ",Opcional Alcantara,No disponible,No disponible,Estándar,Estándar / Estándar,Automático,"Led ","19"" Aluminio","Estándar ",No Disponible,Incluido,1.5L En Línea4,No Disponible / No Disponible,"Estándar ",Estándar,No Disponible,Estándar / Estándar / No Disponible,No Disponible,Estándar,"Estándar ",4718,Gasolina Premium,No Disponible
Acura,MDX,Advance,2025,Acura MDX Advance,Todo Terreno,Automático,5,No disponible,4WD,1569900.0,/SSCMEX/ACURA/MDX/2025/5OD-4.JPG,827999320250603,Estándar / Estándar,No disponible,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,1489900.00,No disponible,No Disponible,"20"" Aluminio",null,7,Tres,null,Estándar / No Disponible / Estándar,Estándar / Estándar,No disponible,"Estándar ",null,290,Estándar / Estándar,"Estándar ",No disponible,No disponible,Estándar,Estándar,4x4,"Visualización De Guía, Estándar ",Opcional Cuero Premium,11.9,No disponible,Estándar,Estándar / Estándar,Automático,"Led ","20"" Aluminio","Estándar ",No Disponible,Incluido,3.5L En V6,No Disponible / No Disponible,"Estándar ",Estándar,Estándar,Estándar / No Disponible / No Disponible,No Disponible,Estándar,"Estándar ",5054,Gasolina Premium,No Disponible
Acura,RDX,A-Spec,2025,Acura RDX A-Spec,Todo Terreno,Automático,5,No disponible,4WD,1234900.0,/SSCMEX/ACURA/RDX/2025/5OD-4.JPG,801978620250603,Estándar / Estándar,No disponible,No Disponible,Estándar,No Disponible,Estándar,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,1164900.00,No disponible,No Disponible,"20"" Aluminio",null,5,Dos,null,Estándar / No Disponible / Estándar,Estándar / Estándar,No disponible,"Estándar ",null,261,Estándar / Estándar,"Estándar ",No disponible,No disponible,Estándar,Estándar,4x4,"Visualización De Guía, Estándar ",Opcional Alcantara,12.8,No disponible,Estándar,Estándar / Estándar,Automático,"Led ","20"" Aluminio","Estándar ",No Disponible,Incluido,2.0L En Línea4,No Disponible / No Disponible,"Estándar ",Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,Estándar,"Estándar ",4766,Gasolina Premium,No Disponible
Acura,MDX,Type S,2025,Acura MDX Type S,Todo Terreno,Automático,5,No disponible,4WD,1819900.0,/SSCMEX/ACURA/MDX/2025/5OD-4.JPG,832593420250603,Estándar / Estándar,No disponible,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,1739900.00,No disponible,No Disponible,"21"" Aluminio",null,7,Tres,null,Estándar / No Disponible / Estándar,Estándar / Estándar,No disponible,"Estándar ",null,350,Estándar / Estándar,"Estándar ",No disponible,No disponible,Estándar,Estándar,4x4,"Visualización De Guía, Estándar ",Opcional Alcantara,10.6,No disponible,Estándar,Estándar / No Disponible,Automático,"Led ","21"" Aluminio","Estándar ",No Disponible,Incluido,3.0L En V6,No Disponible / No Disponible,"Estándar ",Estándar,Estándar,Estándar / No Disponible / No Disponible,No Disponible,Estándar,"Estándar ",5061,Gasolina Premium,No Disponible
Acura,MDX,Advance,2025,Acura MDX Advance,Todo Terreno,Automático,5,No disponible,4WD,1569900.0,/SSCMEX/ACURA/MDX/2025/5OD-4.JPG,827999320250603,Estándar / Estándar,No disponible,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar / Estándar,Estándar,"No Disponible ",No Disponible,Estándar,1489900.00,No disponible,No Disponible,"20"" Aluminio",null,7,Tres,null,Estándar / No Disponible / Estándar,Estándar / Estándar,No disponible,"Estándar ",null,290,Estándar / Estándar,"Estándar ",No disponible,No disponible,Estándar,Estándar,4x4,"Visualización De Guía, Estándar ",Opcional Cuero Premium,11.9,No disponible,Estándar,Estándar / Estándar,Automático,"Led ","20"" Aluminio","Estándar ",No Disponible,Incluido,3.5L En V6,No Disponible / No Disponible,"Estándar ",Estándar,Estándar,Estándar / No Disponible / No Disponible,No Disponible,Estándar,"Estándar ",5054,Gasolina Premium,No Disponible
