file,non_null_fields,keys
data/oem_specs/chevrolet/2025-Aveo-HB-Ficha-Tecnica-v3.pdf,21,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;chasis_susp_tras;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp;seg_pas_airbags_cnt
data/oem_specs/chevrolet/2025-Catalogo-Accesorios-Aveo-HB.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/chevrolet/2025-Catalogo-Accesorios-Trax-NG.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/chevrolet/2025-Catalogo-Trax.pdf,22,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_torque_nm;mot_transmision;seg_act_abs;seg_act_esp;seg_pas_airbags_cnt
data/oem_specs/chevrolet/2025-Ficha-Tecnica-Trax.pdf,23,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;chasis_frenos_del;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_traccion;mot_transmision;seg_act_abs;seg_act_esp;seg_pas_airbags_cnt
data/oem_specs/chevrolet/2025-Manual-de-Propietario-Aveo-HB.pdf,15,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;seg_act_abs;seg_act_esp
data/oem_specs/chevrolet/2025-Trax-NG-Manual-de-Propietario.pdf,16,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_tipo_motor;seg_act_abs;seg_act_esp
data/oem_specs/chevrolet/2025-suburban-manual-de-propietario.pdf,17,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/chevrolet/2025-tahoe-manual-de-propietario.pdf,17,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/chevrolet/2026-groove-manual-propietario.pdf,16,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_transmision;seg_act_abs;seg_act_esp
