file,non_null_fields,keys
data/oem_specs/nissan/nissan-2023-fleet_solutions-catalogo_comerciales.pdf,17,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/nissan/nissan-2023-fleet_solutions-catalogo_productos.pdf,17,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/nissan/nissan-2025-kicks-catalogo.pdf,17,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_tipo_motor;seg_act_abs;seg_act_esp
data/oem_specs/nissan/nissan-2025-kicks-play-catalogo.pdf,18,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_plazas;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_potencia_hp;mot_tipo_motor;seg_act_abs;seg_act_esp
data/oem_specs/nissan/nissan-2025-kicks_e_power-catalogo.pdf,17,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_tipo_motor;mot_torque_nm;seg_act_abs;seg_act_esp
data/oem_specs/nissan/nissan-2025-magnite-catalogo.pdf,18,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_marchas;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/nissan/nissan-2025-sentra-catalogo.pdf,16,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_tipo_motor;seg_act_abs;seg_act_esp
data/oem_specs/nissan/nissan-2025-terminos_promociones_oferta_comercial_posventa.pdf,17,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/nissan/nissan-2025-urvan_panel-catalogo.pdf,18,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_marchas;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/nissan/nissan-2025-urvan_pasajeros-catalogo.pdf,19,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_plazas;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_marchas;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/nissan/nissan-2025-v_drive-catalogo.pdf,18,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_baul_l;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_marchas;mot_tipo_motor;seg_act_abs;seg_act_esp
data/oem_specs/nissan/nissan-2025-versa-catalogo.pdf,17,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;cap_baul_l;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_tipo_motor;seg_act_abs;seg_act_esp
data/oem_specs/nissan/nissan-2025-x_trail_e_power-catalogo.pdf,17,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_tipo_motor;mot_torque_nm;seg_act_abs;seg_act_esp
data/oem_specs/nissan/nissan-2025-z-catalogo.pdf,18,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_potencia_hp;mot_tipo_motor;ruedas_rin_pulg;seg_act_abs;seg_act_esp
