MAKE,Model,Version,Año,60000
Zeekr,1,Flagship,2025,1
Zeekr,1,Sport,2025,1
Zeekr,X,Flagship,2025,1
Zeekr,X,Premium,2025,1
Zeekr,1,Sport,2024,1
Zeekr,1,Flagship,2024,1
Zeekr,X,Premium,2024,1
Zeekr,X,Flagship,2024,1
Volvo,EC40,Ultra,2025,1
Volvo,EC40,Plus,2025,1
Volvo,EC40,Black Edition E80 AWD,2025,1
Volvo,EC40,Core,2025,1
Volvo,EX30,Ultra E60,2025,1
Volvo,EX30,Plus E60,2025,1
Volvo,EX30,Core E40,2025,1
Volvo,EX40,Ultra,2025,1
Volvo,EX40,Plus,2025,1
Volvo,EX40,Black Edition E80 AWD,2025,1
Volvo,EX40,Core,2025,1
Volvo,EX90,Ultra,2025,1
Volvo,XC60,Polestar Engineered T8 e AWD,2025,1
Volvo,XC60,Recharge Ultra Dark T8 e AWD,2025,1
Volvo,XC60,Black Edition T8 e AWD,2025,1
Volvo,XC60,Recharge Plus T8 e AWD,2025,1
Volvo,XC60,Recharge Ultra T8 e AWD,2025,1
Volvo,XC90,Ultra Air Suspension T8 e AWD,2025,1
Volvo,XC90,Ultra T8 e AWD,2025,1
Volvo,XC90,Plus T8 e AWD,2025,1
Volvo,XC90,Ultra Dark Air Suspension T8 e AWD,2025,1
Volvo,XC90,Ultra Dark T8 e AWD,2025,1
Volvo,C40,Recharge Plus Pure Electric,2024,1
Volvo,C40,Recharge Twin Ultimate P8 BEV,2024,1
Volvo,C40,Recharge Twin Ultimate P8 BEV,2024,1
Volvo,EX30,Core,2024,1
Volvo,EX30,Plus,2024,1
Volvo,EX30,Ultra,2024,1
Volvo,XC40,Recharge Plus Pure Electric,2024,1
Volvo,XC40,Recharge Twin Ultimate P8 BEV,2024,1
Volvo,XC40,Plus B4 FWD,2024,1
Volvo,XC40,Ultimate B4 FWD,2024,1
Volvo,XC40,Ultimate B4 FWD,2024,1
Volvo,XC40,Plus B4 FWD,2024,1
Volvo,XC40,Recharge Twin Ultimate P8 BEV,2024,1
Volvo,XC60,Recharge Ultimate Dark T8 e AWD,2024,1
Volvo,XC60,Polestar T8 e AWD,2024,1
Volvo,XC60,Recharge Ultimate T8 e AWD,2024,1
Volvo,XC60,Plus B5 AWD,2024,1
Volvo,XC60,Recharge Ultimate T8 e AWD,2024,1
Volvo,XC60,Recharge Plus T8 e AWD,2024,1
Volvo,XC60,Black Edition T8 e AWD,2024,1
Volvo,XC60,Recharge Ultimate Dark T8 e AWD,2024,1
Volvo,XC60,Polestar T8 e AWD,2024,1
Volvo,XC60,Plus B5 AWD,2024,1
Volvo,XC90,Plus B6 AWD,2024,1
Volvo,XC90,Recharge Ultimate T8 e AWD,2024,1
Volvo,XC90,Recharge Plus T8 e AWD,2024,1
Volvo,XC90,Recharge Ultimate Dark T8 e AWD,2024,1
Volvo,XC90,Plus B6 AWD,2024,1
Volvo,XC90,Recharge Ultimate Dark T8 e AWD,2024,1
Volvo,XC90,Recharge Ultimate Dark Air Suspension T8,2024,1
Volvo,XC90,Recharge Plus T8 e AWD,2024,1
Volvo,XC90,Recharge Ultimate T8 e AWD,2024,1
Volvo,XC90,Recharge Ultimate Air Suspension T8 e AW,2024,1
Volkswagen,Nivus,Highline,2026,1
Volkswagen,Polo,Highline,2026,1
Volkswagen,Polo,Comfortline,2026,1
Volkswagen,Polo,Track,2026,1
Volkswagen,Amarok,Life Diésel sin Tirón de Arraste,2025,1
Volkswagen,Amarok,Life Gasolina sin Tirón de Arraste,2025,1
Volkswagen,Amarok,Style Diésel 210 HP sin Tirón de Arraste,2025,1
Volkswagen,Amarok,Aventura Diésel,2025,1
Volkswagen,Amarok,Panamericana Diésel,2025,1
Volkswagen,Amarok,Style 2.0l 210 HP 4Motion,2025,1
Volkswagen,Amarok,Life Gasolina,2025,1
Volkswagen,Amarok,Life Diésel,2025,1
Volkswagen,Crafter,Chasis 3.5T / Garantía Extendida (2+3),2025,1
Volkswagen,Crafter,Cargo Van 3.5T LWB / Garantía Extendida,2025,1
Volkswagen,Crafter,Cargo Van 3.5T MWB / Garantía Extendida,2025,1
Volkswagen,Crafter,Cargo Van 4.8T Euro VIe LWB / Garantía E,2025,1
Volkswagen,Crafter,Chasis 5.0T Euro VI LWB Aut. / Garantía,2025,1
Volkswagen,Crafter,Cargo Van 4.7T Euro VIe LWB Ext. Man. /,2025,1
Volkswagen,Cross Sport,R-Line Long Drive,2025,1
Volkswagen,Golf,GTI,2025,1
Volkswagen,Jetta,Comfortline Tiptronic,2025,1
Volkswagen,Jetta,70 Aniversario,2025,1
Volkswagen,Jetta,GLI Long Drive SIN BEATS,2025,1
Volkswagen,Jetta,Sportline,2025,1
Volkswagen,Jetta,GLI Long Drive,2025,1
Volkswagen,Jetta,Sportline SIN BEATS,2025,1
Volkswagen,Jetta,Trendline Tip.,2025,1
Volkswagen,Polo,Track,2025,1
Volkswagen,Polo,Comfortline,2025,1
Volkswagen,Polo,Highline,2025,1
Volkswagen,Saveiro,Extreme Doble Cabina,2025,1
Volkswagen,Saveiro,Robust Cabina Sencilla,2025,1
Volkswagen,Taigun,Trendline MPI Tip1.6,2025,1
Volkswagen,Taigun,TSI Trendline,2025,1
Volkswagen,Taigun,TSI Comfortline,2025,1
Volkswagen,Taigun,Trendline MPI Std. 1.6,2025,1
Volkswagen,Taigun,TSI Highline,2025,1
Volkswagen,Taos,Trendline,2025,1
Volkswagen,Taos,Comfortline,2025,1
Volkswagen,Taos,Highline,2025,1
Volkswagen,Teramont,Peak Edition Long Drive,2025,1
Volkswagen,Teramont,Highline Long Drive,2025,1
Volkswagen,Teramont,Trendline Long Drive,2025,1
Volkswagen,Tiguan,Comfortline,2025,19140
Volkswagen,Tiguan,R-Line 1.4,2025,19140
Volkswagen,Tiguan,Trendline,2025,19140
Volkswagen,Virtus,Trendline Manual,2025,1
Volkswagen,Virtus,Trendline Tiptronic,2025,1
Volkswagen,Virtus,Highline,2025,1
Volkswagen,Virtus,Comfortline Tiptronic,2025,1
Volkswagen,Amarok,Life 2.0l 170 HP 4Motion,2024,1
Volkswagen,Amarok,Life 2.3l 302 HP 4Motion,2024,1
Volkswagen,Amarok,Style 2.0l 170 HP 4Motion,2024,1
Volkswagen,Amarok,Style 2.0l 210 HP 4Motion,2024,1
Volkswagen,Amarok,Style 2.3l 302 HP 4Motion,2024,1
Volkswagen,Amarok,Panamericana 2.0l 210 HP 4Motion,2024,1
