row_idx,make,model,version,ano,msrp,precio_transaccion,msrp_new,precio_transaccion_new,delta_tx
37,ACURA,MDX,3.5 5AT,2005,564353.0,,564353.0,564353.0,
39,ACURA,MDX,3.7 5AT,2007,577879.0,,577879.0,577879.0,
40,ACURA,MDX,3.7 5AT,2008,584618.0,,584618.0,584618.0,
41,ACURA,MDX,3.7 5AT,2009,619596.0,,619596.0,619596.0,
42,ACURA,MDX,3.7 6AT,2010,777503.0,,777503.0,777503.0,
44,ACURA,MDX,3.7 6AT,2012,667900.0,,667900.0,667900.0,
70,ACURA,RDX,2.3 AT,2007,468845.0,,468845.0,468845.0,
72,ACURA,RDX,2.3 5AT,2009,504815.0,,504815.0,504815.0,
73,ACURA,RDX,2.3 5AT,2010,638470.0,,638470.0,638470.0,
96,ACURA,RL,3.5 5AT,2005,699798.0,,699798.0,699798.0,
98,ACURA,RL,3.5 5AT,2007,676009.0,,676009.0,676009.0,
100,ACURA,RL,3.5 5AT,2009,738835.0,,738835.0,738835.0,
101,ACURA,RL,3.7 5AT,2010,923284.0,,923284.0,923284.0,
105,ACURA,TL,3.2 5AT,2005,451482.0,,451482.0,451482.0,
107,ACURA,TL,3.2 5AT,2007,447038.0,,447038.0,447038.0,
108,ACURA,TL,3.2 5AT,2008,448025.0,,448025.0,448025.0,
109,ACURA,TL,3.5 5AT,2009,512615.0,,512615.0,512615.0,
110,ACURA,TL,3.7 5AT,2009,585050.0,,585050.0,585050.0,
111,ACURA,TL,3.7 5AT,2010,735658.0,,735658.0,735658.0,
112,ACURA,TL,3.5 5AT,2010,647919.0,,647919.0,647919.0,
139,ACURA,TSX,2.4L 5AT,2009,403406.0,,403406.0,403406.0,
140,ACURA,TSX,2.4L 5AT,2010,514286.0,,514286.0,514286.0,
141,ACURA,TSX,3.5L 5AT,2010,568279.0,,568279.0,568279.0,
148,ACURA,ZDX,3.7 6AT,2010,1039370.0,,1039370.0,1039370.0,
150,ALFA ROMEO,147,2.0 SELESPEED S.R. R17,2002,301740.0,,301740.0,301740.0,
151,ALFA ROMEO,147,2.0 SELESPEED,2002,281760.0,,281760.0,281760.0,
152,ALFA ROMEO,147,2.0 SELESPEED TELA,2002,277279.0,,277279.0,277279.0,
153,ALFA ROMEO,147,2.0 CONFORT 3PTAS M,2004,285165.0,,285165.0,285165.0,
154,ALFA ROMEO,147,2.0 ELEGANCE 3PTAS P,2004,300231.0,,300231.0,300231.0,
155,ALFA ROMEO,147,2.0 SPORT 3PTAS SELESPEED B,2004,332515.0,,332515.0,332515.0,
156,ALFA ROMEO,147,2.0 TI 3PTAS SELESPEED T,2004,376636.0,,376636.0,376636.0,
157,ALFA ROMEO,147,2.0 ELEGANCE 5PTAS SELESPEED C,2004,328210.0,,328210.0,328210.0,
158,ALFA ROMEO,147,2.0 SPORT 5PTAS SELESPEED D,2004,354038.0,,354038.0,354038.0,
159,ALFA ROMEO,147,2.0 SPORT 3PTAS SELESPEED B CON XENON,2004,338972.0,,338972.0,338972.0,
