make,model,anio,segmento,unidades
ACURA,INTEGRA,2025,DE LUJO,27
ACURA,MDX,2025,SUV'S,50
ACURA,RDX,2025,SUV'S,52
ACURA,TLX,2025,DE LUJO,5
ALFA ROMEO,GIULIA,2025,DE LUJO,6
ALFA ROMEO,STELVIO,2025,DE LUJO,5
ALFA ROMEO,TONALE,2025,SUV'S,36
AUDI,A1*,2025,DE LUJO,75
AUDI,A3-,2025,DE LUJO,280
AUDI,A4,2025,DE LUJO,20
AUDI,A5 COUPE,2025,DE LUJO,18
AUDI,A5 SPORTBACK,2025,DEPORTIVOS,55
AUDI,A6,2025,DE LUJO,21
AUDI,A7,2025,DE LUJO,9
AUDI,A8,2025,DE LUJO,3
AUDI,E-TRON,2025,SUV'S,6
AUDI,Q 3,2025,SUV'S,134
AUDI,Q2,2025,DE LUJO,76
AUDI,Q3 SB,2025,SUV'S,160
AUDI,Q5,2025,SUV'S,214
AUDI,Q7,2025,SUV'S,65
AUDI,Q7-,2025,SUV'S,36
AUDI,Q8,2025,SUV'S,82
AUTECO,D2S 250,2025,SUBCOMPACTOS,2
AUTECO,E-TRUCK B2.0T,2025,PICK UPS,1
AUTECO,E-VAN S1.0T PRO,2025,MINIVANS,2
AUTECO,RICH 6 EV,2025,PICK UPS,1
BENTLEY,BENTAYGA,2025,DE LUJO,0
BENTLEY,CONTINENTAL,2025,DE LUJO,0
BENTLEY,FLYING SPUR,2025,DE LUJO,0
BENTLEY,MULSANNE,2025,DE LUJO,0
BMW,I4,2025,DE LUJO,23
BMW,I5,2025,DE LUJO,8
BMW,IX,2025,SUV'S,33
BMW,IX1,2025,DE LUJO,14
BMW,IX2,2025,SUV'S,27
BMW,IX3,2025,SUV'S,7
BMW,SERIE 1 HATCH,2025,DE LUJO,115
BMW,SERIE 1 SEDÁN,2025,DE LUJO,0
BMW,SERIE 2,2025,DE LUJO,162
BMW,SERIE 3,2025,DE LUJO,128
BMW,SERIE 4,2025,DE LUJO,135
BMW,SERIE 5,2025,DE LUJO,29
BMW,SERIE 7,2025,DE LUJO,12
BMW,SERIE 8,2025,DE LUJO,1
BMW,X1,2025,SUV'S,591
BMW,X2,2025,SUV'S,183
BMW,X3,2025,SUV'S,231
BMW,X4,2025,SUV'S,154
BMW,X5,2025,SUV'S,214
BMW,X6,2025,SUV'S,214
