make,model,version,ano
BMW,IX2,XDRIVE30 ELCTRICO AUTOMTICO,2024
BMW,IX2,XDRIVE30 ELCTRICO AUTOMTICO,2025
BMW,IX2,XDRIVE30 ELCTRICO AUTOMTICO,2026
BMW,M,M2 COUP,2024
BMW,M,M2 COUP,2025
BMW,M,M2 COUP,2026
BMW,M,M3 CS (AUTOMTICO),2024
BMW,M,XM AUTOMTICO,2024
BMW,M,XM AUTOMTICO,2025
BMW,SERIE 3 SEDAN,320I EDICION 30 AOS,2025
BMW,SERIE 3 SEDAN,320I EDICION 30 AOS,2026
BMW,SERIE 4 GRAN COUP,430I,2024
BMW,SERIE 4 GRAN COUP,430I,2025
BMW,SERIE 4 GRAN COUP,430I,2026
BMW,SERIE 4 GRAN COUP,M440I XDRIVE,2024
BMW,SERIE 4 GRAN COUP,M440I XDRIVE,2025
BMW,SERIE 4 GRAN COUP,M440I XDRIVE,2026
BMW,X2 SAC,XDRIVE20I AUTOMTICO,2024
BMW,X2 SAC,XDRIVE20I AUTOMTICO,2025
BMW,X2 SAC,XDRIVE20I AUTOMTICO,2026
BMW,X3 SAV,XDRIVE30E OUTDOOR EDITION (HBRIDO AUT),2024
BMW,X4 SAC,XDRIVE30I CARBON EDITION (AUTOMTICO),2024
BPS,X7,CHSIS,2025
CHEVROLET,CAMARO,SS G EDICIN DE COLECCIONISTAS COUP,2024
CHEVROLET,CAMARO,ZL1 Z EDICIN DE COLECCIONISTAS COUP,2024
CHEVROLET,CAVALIER TURBO,LS AUTOMTICO A,2024
CHEVROLET,CAVALIER TURBO,LT AUTOMTICO B,2024
CHEVROLET,GROOVE,LT AUTOMTICO E,2024
CHEVROLET,GROOVE,LT AUTOMTICO E,2025
CUPRA,FORMENTOR,VZ 2.0 TSI 333HP DSG7 EDICIN ESPECIAL,2025
CUPRA,LEON,2.0 TSI 300HP DSG7 EDICIN ESPECIAL,2025
CUPRA,LEON,LEN 190HP DSG,2024
CUPRA,LEON,LEN 300HP DSG,2024
DONGFENG,RICH 6,4X4 DISEL,2025
GWM,TANK 300,LUXURY HBRIDO LAUNCHING EDITION,2024
GWM,TANK 300,LUXURY HBRIDO LAUNCHING EDITION,2025
HYUNDAI,TUCSON,LIMITED HBRIDA,2024
HYUNDAI,TUCSON,LIMITED HBRIDA,2025
JMC,EV BLACK,ELCTRICO,2024
MINI,COOPER,JOHN COOPER WORKS ELCTRICO,2025
MINI,COOPER,JOHN COOPER WORKS ELCTRICO,2026
PORSCHE,911,50 AOS TURBO,2025
TESLA,MODEL 3,AUTONOMA ESTANDAR PLUS,2024
VOLKSWAGEN,AMAROK,AVENTURA DISEL,2025
VOLKSWAGEN,AMAROK,LIFE DISEL,2025
VOLKSWAGEN,AMAROK,LIFE DISEL SIN TIRN DE ARRASTE,2024
VOLKSWAGEN,AMAROK,LIFE DISEL SIN TIRN DE ARRASTE,2025
VOLKSWAGEN,AMAROK,LIFE GASOLINA SIN TIRN DE ARRASTE,2024
VOLKSWAGEN,AMAROK,LIFE GASOLINA SIN TIRN DE ARRASTE,2025
VOLKSWAGEN,AMAROK,PANAMERICANA DISEL,2025
VOLKSWAGEN,AMAROK,STYLE DISEL 170 HP SIN TIRN DE ARRASTE,2024
VOLKSWAGEN,AMAROK,STYLE DISEL 210 HP SIN TIRN DE ARRASTE,2024
VOLKSWAGEN,AMAROK,STYLE DISEL 210 HP SIN TIRN DE ARRASTE,2025
VOLKSWAGEN,AMAROK,STYLE GASOLINA SIN TIRN DE ARRASTE,2024
VOLKSWAGEN,CRAFTER,CARGO VAN 3.5T LWB / GARANTA EXTENDIDA,2025
VOLKSWAGEN,CRAFTER,CARGO VAN 3.5T MWB / GARANTA EXTENDIDA,2025
VOLKSWAGEN,CRAFTER,CARGO VAN 4.8T EURO VIE LWB / GARANTA E,2025
VOLKSWAGEN,CRAFTER,CHASIS 3.5T / GARANTA EXTENDIDA (2+3),2025
VOLKSWAGEN,CRAFTER,CHASIS 5.0T EURO VI LWB AUT. / GARANTA,2025
VOLKSWAGEN,TIGUAN,COMFORTLINE 3,2024
